,ext1,ext2,ext3,ext4,ext5,ext6,ext7,ext8,ext9,ext10,ext11,ext12,agr1,agr2,agr3,agr4,agr5,agr6,agr7,agr8,agr9,agr10,agr11,agr12,con1,con2,con3,con4,con5,con6,con7,con8,con9,con10,con11,con12,neg1,neg2,neg3,neg4,neg5,neg6,neg7,neg8,neg9,neg10,neg11,neg12,ope1,ope2,ope3,ope4,ope5,ope6,ope7,ope8,ope9,ope10,ope11,ope12,scon1,scon2,scon3,scon4,scon5,scon6,scon7,scon8,scon9,scon10,scon11,scon12,scon13,scon14,scon15,sagr1,sagr2,sagr3,sagr4,sagr5,sagr6,sagr7,sagr8,sagr9,sagr10,sagr11,sagr12,sagr13,sagr14,sagr15,sope1,sope2,sope3,sope4,sope5,sope6,sope7,sope8,sope9,sope10,sope11,sope12,sope13,sope14,sope15,sext1,sext2,sext3,sext4,sext5,sext6,sext7,sext8,sext9,sext10,sext11,sext12,sext13,sext14,sext15,sneg1,sneg2,sneg3,sneg4,sneg5,sneg6,sneg7,sneg8,sneg9,sneg10,sneg11,sneg12,sneg13,sneg14,sneg15,fcon1,fcon2,fcon3,fcon4,fcon5,fcon6,fcon7,fcon8,fcon9,fcon10,fcon11,fcon12,fcon13,fagr1,fagr2,fagr3,fagr4,fagr5,fagr6,fagr7,fagr8,fagr9,fagr10,fagr11,fagr12,fagr13,fope1,fope2,fope3,fope4,fope5,fope6,fope7,fope8,fope9,fope10,fope11,fope12,fope13,fext1,fext2,fext3,fext4,fext5,fext6,fext7,fext8,fext9,fext10,fext11,fext12,fext13,fneg1,fneg2,fneg3,fneg4,fneg5,fneg6,fneg7,fneg8,fneg9,fneg10,fneg11,fneg12,fneg13,health1,health2,health3,health4,health5,health6,health7,health8,health9,health10,health11,health12,health13,health14,health15,health16,health17,health18,health19,health20,health21,health22,health23,health24,health25,health26,work1,work2,work3,work4,work5,work6,work7,work8,work9,work10,work11,work12,work13,work14,work15,work16,work17,gpa,age,gender,ethnicity,income,condition
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,4,3,2,1,4,1,1,1,1,5,4,5,5,3,4,4,1,4,1,1,1,5,5,1,1,4,2,4,4,4,3,3,4,3,2,4,3,2,2,3,n/a,25,Woman,Asian or Asian American,"Over $100,000",self-rated
2,4,4,5,3,3,3,4,4,3,4,4,3,4,4,4,4,4,3,5,4,4,4,3,5,2,4,4,2,4,4,4,5,4,4,4,4,4,4,3,2,1,2,4,4,4,3,4,2,3,3,2,4,4,4,3,4,5,3,1,2,5,3,4,3,3,4,3,3,4,3,3,2,1,4,3,3,2,5,4,2,4,4,3,3,2,2,3,3,2,3,3,3,3,2,1,4,4,2,5,4,3,4,2,3,4,4,2,3,3,2,4,2,5,4,2,4,2,3,3,3,4,3,3,3,4,5,5,3,4,1,3,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,4,4,3,4,5,4,5,1,5,5,4,5,2,4,3,4,4,3,1,5,5,2,4,4,5,4,4,3,5,5,5,4,2,5,2,3,4,2,4,3.52,25,Woman,Asian or Asian American,"Over $100,000",control
3,3,4,4,3,4,5,2,2,3,3,3,2,4,5,4,3,5,5,2,1,1,4,4,2,2,4,3,2,5,4,2,3,4,2,5,3,5,2,1,4,4,5,5,4,3,3,3,4,1,1,4,3,5,5,4,5,2,3,4,1,1,3,4,1,3,5,1,3,5,2,1,5,1,3,4,1,1,3,4,3,5,1,3,5,2,2,5,2,2,4,1,2,4,1,4,4,1,2,3,1,3,5,2,3,5,1,2,5,2,2,5,1,5,5,1,4,5,2,4,5,2,4,4,1,2,5,2,5,5,3,4,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,2,5,4,2,3,2,1,1,1,5,1,3,4,2,1,4,2,2,2,4,5,3,5,2,2,2,1,3,1,4,5,4,5,4,2,1,3,1,2,2,3.89,21,Woman,Asian or Asian American,"$20,000 to $34,999",self-rated
4,2,1,1,1,1,3,3,1,4,4,2,1,3,3,4,2,2,2,3,1,3,4,1,3,3,2,3,1,3,3,1,2,1,4,3,2,2,2,2,4,2,2,3,4,3,2,4,1,3,3,4,4,5,2,4,4,4,2,4,1,3,4,4,2,3,3,4,2,3,5,2,3,3,4,1,4,3,4,3,3,3,1,3,4,3,3,4,3,3,4,2,2,3,4,2,3,4,4,3,4,3,2,3,3,4,3,3,3,5,4,4,4,2,3,3,5,3,4,2,4,3,1,2,3,4,2,2,5,2,3,3,5,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,2,4,2,4,4,5,4,3,4,4,2,4,3,4,4,3,5,2,4,1,3,4,2,2,2,3,5,3,4,5,4,NA,2,1,1,4,2,2,4,3.8,20,Woman,White or Caucasian,"Over $100,000",fixed
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,1,5,5,1,2,1,1,5,5,5,3,1,4,1,5,5,3,2,4,1,3,4,3,1,4,1,4,5,2,5,4,1,4,5,1,4,1,1,4,2,5,5,1,1,4,4,3,1,4,2,4,2,5,2,2,5,5,1,4,3,4,2,5,5,1,3,4,4,5,5,4,4,5,5,5,5,5,5,1,5,4,4,5,1,5,2,2,1,4,4,3,3,4,4,4,2,5,3,4,2,4,4,4,4,4,2.9,23,Woman,"White or Caucasian,Hispanic or Latino","Less than $20,000",control
6,3,4,3,3,3,4,3,4,4,4,2,3,5,1,5,1,5,5,2,3,4,5,4,4,5,4,4,1,2,4,2,5,1,2,4,5,5,5,3,3,4,3,4,4,4,5,4,3,2,4,1,4,5,1,5,2,3,5,5,5,1,3,5,1,3,5,2,3,5,2,2,4,1,3,4,1,2,5,1,5,3,3,3,5,2,2,5,1,2,5,1,3,5,1,3,5,1,2,3,2,3,4,1,3,5,2,4,5,2,2,5,1,3,5,2,3,5,2,3,5,1,5,5,2,5,4,1,3,4,1,3,5,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,5,4,2,4,4,4,4,4,5,4,5,5,3,1,4,4,2,5,5,3,5,5,5,4,2,4,4,4,4,3,4,4,3,3,5,4,5,5,2,1,4,21,Nobinary or genderqueer,White or Caucasian,"Over $100,000",self-rated
7,2,4,4,4,3,1,4,4,5,4,1,2,5,1,5,4,5,5,2,5,4,4,4,4,4,3,1,1,3,5,4,4,5,4,4,3,2,2,2,4,4,4,4,1,1,1,3,2,4,3,4,4,5,5,4,4,3,3,3,2,5,3,3,2,3,5,1,3,5,2,3,5,2,2,5,1,2,4,2,4,3,1,2,4,1,3,5,1,3,4,1,3,5,1,3,5,2,3,4,2,4,4,1,3,4,3,3,4,1,3,4,1,2,3,1,3,5,1,3,5,2,4,5,3,2,3,1,3,5,1,1,4,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,5,5,2,3,4,5,5,4,5,5,5,4,5,4,5,5,5,2,4,3,5,5,5,3,5,5,5,5,5,4,5,5,5,5,5,3,3,4,4,4,3.4,20,Woman,White or Caucasian,"$75,000 to $99,999",fixed
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,3,5,3,3,3,5,3,4,5,4,3,3,3,1,4,4,3,3,3,4,3,4,4,3,3,4,3,4,4,4,4,2,4,4,2,3,3,3,2,4,4,4,4,3,3,2,3,5,3,5,2,2,1,2,2,5,5,4,4,3,2,4,4,2,2,2,1,2,5,4,5,4,5,2,5,1,4,2,1,1,4,1,5,1,1,1,5,5,1,1,5,2,4,2,4,3,1,4,1,2,1,1,4,3,1,3.1,19,Man,Black or African American,"$50,000 to $74,999",fixed
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,4,5,5,2,3,3,3,5,5,4,4,4,2,4,5,3,4,4,4,5,4,4,4,2,5,2,4,4,1,5,2,2,5,5,1,5,2,4,5,5,2,4,2,4,4,4,3,1,3,4,2,3,4,5,3,3,4,3,4,3,4,4,5,4,5,3,4,4,3,4,5,4,5,5,3,4,5,5,3,5,5,4,4,4,4,2,4,4,3,4,3,4,2,4,4,3,3,4,4,4,2,4,4,4,4,3.5,23,Woman,White or Caucasian,"$35,000 to $49,999",self-rated
10,4,4,3,4,3,3,3,2,3,4,2,2,5,2,4,2,4,4,3,3,4,4,2,2,2,3,3,2,4,4,3,4,4,2,4,4,2,4,2,4,2,2,4,4,3,4,4,2,3,4,4,4,5,4,4,2,3,4,3,2,1,4,5,1,2,4,2,4,4,2,3,5,1,3,3,3,4,3,5,4,3,4,3,3,3,2,3,2,2,4,1,1,4,2,3,4,4,3,4,4,3,4,1,4,3,3,3,5,4,3,4,2,4,4,5,4,5,2,3,5,2,4,5,1,3,3,3,4,4,4,3,3,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,3,3,4,3,4,4,3,2,4,5,1,2,5,1,3,1,3,4,2,3,2,3,5,3,5,5,2,3,4,4,4,4,4,4,4,5,5,4,5,5,3.3,18,Woman,Hispanic or Latino,"$50,000 to $74,999",control
